 File made by Rachid Nouicer 
 PHOBOS experiment : AuAu at 200 GeV 
 ----------------------------------- 
 Centrality bin (%) :  35 to 45 % 
 Npart:                93 +/- 5
 
 dN/dEta vs. Eta 
 
   x         ex          y        +ey        -ey   
 -------------------------------------------------------  
-5.300000  0.000000  29.877424  5.348680  -8.560957 
-5.100000  0.000000  33.691338  7.959045  -7.433529 
-4.900000  0.000000  40.900539  7.971889  -8.848530 
-4.700000  0.000000  49.878662  6.982246  -11.164654 
-4.500000  0.000000  53.220970  12.318939  -7.018402 
-4.300000  0.000000  64.484451  10.301918  -10.075352 
-4.100000  0.000000  74.361710  10.071373  -11.206387 
-3.900000  0.000000  82.292580  11.985306  -10.089226 
-3.700000  0.000000  90.220284  13.878357  -8.941635 
-3.500000  0.000000  98.831459  14.839905  -8.730026 
-3.300000  0.000000  108.680870  14.107506  -10.261665 
-3.100000  0.000000  121.947540  9.325851  -15.914841 
-2.900000  0.000000  125.489777  13.501251  -12.680016 
-2.700000  0.000000  131.561279  14.288742  -12.875031 
-2.500000  0.000000  135.853836  15.946838  -12.197014 
-2.300000  0.000000  141.713898  15.114304  -13.953865 
-2.100000  0.000000  145.558090  15.386185  -14.495773 
-1.900000  0.000000  149.144577  15.034088  -15.500504 
-1.700000  0.000000  152.068558  14.504333  -16.479019 
-1.500000  0.000000  153.668945  14.508682  -16.687912 
-1.300000  0.000000  154.095886  14.959457  -16.198257 
-1.100000  0.000000  154.842575  14.446823  -16.424667 
-0.900000  0.000000  154.531250  14.468674  -15.905258 
-0.700000  0.000000  154.135880  14.226517  -15.516998 
-0.500000  0.000000  155.645096  11.973297  -17.134506 
-0.300000  0.000000  152.999252  14.060837  -14.572556 
-0.100000  0.000000  152.972809  14.000763  -14.488327 
0.100000  0.000000  149.794601  17.178970  -11.310120 
0.300000  0.000000  151.782593  15.277496  -13.355896 
0.500000  0.000000  153.495148  14.123245  -14.984558 
0.700000  0.000000  153.097916  15.264481  -14.479034 
0.900000  0.000000  151.989822  17.010101  -13.363831 
1.100000  0.000000  151.420715  17.868683  -13.002808 
1.300000  0.000000  152.737732  16.317596  -14.840103 
1.500000  0.000000  153.199066  14.978561  -16.218033 
1.700000  0.000000  150.983475  15.589417  -15.393936 
1.900000  0.000000  148.733597  15.445068  -15.089523 
2.100000  0.000000  147.036407  13.907867  -15.974091 
2.300000  0.000000  141.784958  15.043243  -14.024925 
2.500000  0.000000  139.299301  12.501373  -15.642479 
2.700000  0.000000  133.309647  12.540375  -14.623398 
2.900000  0.000000  124.384232  14.606781  -11.574478 
3.100000  0.000000  121.207779  10.065598  -15.175087 
3.300000  0.000000  113.969757  8.818611  -15.550568 
3.500000  0.000000  102.340714  11.330643  -12.239296 
3.700000  0.000000  92.809639  11.289001  -11.530991 
3.900000  0.000000  84.118805  10.159065  -11.915459 
4.100000  0.000000  72.661690  11.771370  -9.506390 
4.300000  0.000000  63.864304  10.922066  -9.455204 
4.500000  0.000000  55.003082  10.536827  -8.800514 
4.700000  0.000000  48.912209  7.948681  -10.198215 
4.900000  0.000000  40.961990  7.910439  -8.909981 
5.100000  0.000000  34.000664  7.649704  -7.742868 
5.300000  0.000000  29.296186  5.929918  -7.979719 
