 File made by Rachid Nouicer 
 PHOBOS experiment : AuAu at 200 GeV 
 ----------------------------------- 
 Centrality bin (%) :  45 to 55 % 
 
 dN/dEta vs. Eta 
 
   x         ex          y        +ey        -ey   
 -------------------------------------------------------  
-5.300000  0.000000  19.495556  3.959185  -5.753398 
-5.100000  0.000000  22.525454  4.976526  -5.628538 
-4.900000  0.000000  27.042273  4.957647  -6.467663 
-4.700000  0.000000  31.523439  5.394526  -6.750582 
-4.500000  0.000000  35.478474  6.721642  -6.026611 
-4.300000  0.000000  39.567173  8.197910  -5.037910 
-4.100000  0.000000  47.149559  6.359947  -7.268120 
-3.900000  0.000000  51.605892  7.708443  -6.252991 
-3.700000  0.000000  55.858059  9.195667  -5.085136 
-3.500000  0.000000  62.647949  7.956985  -6.672131 
-3.300000  0.000000  66.826973  9.030472  -6.007133 
-3.100000  0.000000  75.856720  4.863350  -10.656326 
-2.900000  0.000000  76.470299  8.654488  -7.415123 
-2.700000  0.000000  80.580353  8.447029  -8.218559 
-2.500000  0.000000  83.763878  8.641495  -8.633629 
-2.300000  0.000000  86.126587  9.127388  -8.733543 
-2.100000  0.000000  88.219337  9.362183  -9.023605 
-1.900000  0.000000  89.516617  9.888458  -8.927505 
-1.700000  0.000000  91.487076  9.260307  -9.863075 
-1.500000  0.000000  91.713608  9.922295  -9.365036 
-1.300000  0.000000  93.201118  8.903770  -10.392929 
-1.100000  0.000000  92.785248  9.416046  -9.737732 
-0.900000  0.000000  92.325340  9.669113  -9.210915 
-0.700000  0.000000  93.632668  7.954819  -10.568169 
-0.500000  0.000000  93.586136  7.537636  -10.622498 
-0.300000  0.000000  90.052917  10.724693  -7.168114 
-0.100000  0.000000  92.344429  8.375603  -9.448204 
0.100000  0.000000  91.345810  9.374222  -8.449585 
0.300000  0.000000  91.776321  9.001289  -8.891518 
0.500000  0.000000  91.942360  9.181412  -8.978722 
0.700000  0.000000  90.902725  10.684761  -7.838226 
0.900000  0.000000  92.882927  9.111526  -9.768501 
1.100000  0.000000  91.642471  10.558823  -8.594955 
1.300000  0.000000  91.810196  10.294693  -9.002007 
1.500000  0.000000  92.429947  9.205948  -10.081375 
1.700000  0.000000  91.510567  9.236816  -9.886566 
1.900000  0.000000  90.282257  9.122818  -9.693146 
2.100000  0.000000  87.921989  9.659531  -8.726257 
2.300000  0.000000  85.936996  9.316978  -8.543953 
2.500000  0.000000  83.562782  8.842590  -8.432541 
2.700000  0.000000  80.657883  8.369499  -8.296089 
2.900000  0.000000  77.458519  7.666260  -8.403351 
3.100000  0.000000  76.118652  4.601410  -10.918266 
3.300000  0.000000  70.020309  5.837135  -9.200474 
3.500000  0.000000  63.875259  6.729668  -7.899448 
3.700000  0.000000  57.580208  7.473518  -6.807285 
3.900000  0.000000  51.598579  7.715748  -6.245686 
4.100000  0.000000  45.298100  8.211395  -5.416672 
4.300000  0.000000  40.766087  6.998997  -6.236824 
4.500000  0.000000  35.117466  7.082649  -5.665604 
4.700000  0.000000  32.028782  4.889172  -7.255936 
4.900000  0.000000  26.119835  5.880085  -5.545225 
5.100000  0.000000  22.524298  4.977673  -5.627390 
5.300000  0.000000  19.780287  3.674454  -6.038129 
