Path: /HepData/9010/d1-x1-y1
Measurement of $\mbox{d}N_{\mbox{ch}}/\mbox{d}\eta$ for all centralities and a broad $\eta$ range.  Combined and symmetrised $\mbox{d}N_{\mbox{ch}}/\mbox{d}\eta$ over 30-90 PCT centrality from both SPD and FMD.  Previously published results for 0-30 PCT over the full pseudorapidity range available elsewhere [PLB726.610]. Please note the systematic uncertainty from the centrality determination is encoded as a qualifier in the table header
Location: F 3
CENTRALITY : 30.0 - 40.0 pct : 40.0 - 50.0 pct : 50.0 - 60.0 pct : 60.0 - 70.0 pct : 70.0 - 80.0 pct : 80.0 - 90.0 pct
Centrality : +- 1.2 PCT : +- 1.7 PCT : +- 2.3 PCT : +- 3.1 PCT : +- 3.9 PCT : +- 4.9 PCT
SQRT(S)/NUCLEON : 2760.0 GeV
x : $\mathit{\eta}$
y : $\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-3.375	-3.5	-3.25	395.0	+0.0	-0.0	+18.0	-18.0	246.0	+0.0	-0.0	+11.0	-11.0	142.9	+0.0	-0.0	+6.4	-6.4	76.1	+0.0	-0.0	+3.4	-3.4	35.2	+0.0	-0.0	+1.6	-1.6	13.92	+0.0	-0.0	+0.63	-0.63
	-3.125	-3.25	-3.0	410.0	+0.0	-0.0	+18.0	-18.0	255.0	+0.0	-0.0	+11.0	-11.0	147.9	+0.0	-0.0	+6.7	-6.7	78.5	+0.0	-0.0	+3.5	-3.5	36.1	+0.0	-0.0	+1.6	-1.6	14.31	+0.0	-0.0	+0.65	-0.65
	-2.875	-3.0	-2.75	422.0	+0.0	-0.0	+19.0	-19.0	262.0	+0.0	-0.0	+12.0	-12.0	152.0	+0.0	-0.0	+6.9	-6.9	80.0	+0.0	-0.0	+3.6	-3.6	36.7	+0.0	-0.0	+1.7	-1.7	14.44	+0.0	-0.0	+0.65	-0.65
	-2.625	-2.75	-2.5	437.0	+0.0	-0.0	+20.0	-20.0	271.0	+0.0	-0.0	+12.0	-12.0	156.3	+0.0	-0.0	+7.0	-7.0	81.8	+0.0	-0.0	+3.7	-3.7	37.6	+0.0	-0.0	+1.7	-1.7	14.67	+0.0	-0.0	+0.66	-0.66
	-2.375	-2.5	-2.25	447.0	+0.0	-0.0	+20.0	-20.0	276.0	+0.0	-0.0	+12.0	-12.0	158.6	+0.0	-0.0	+7.2	-7.2	83.1	+0.0	-0.0	+3.7	-3.7	37.7	+0.0	-0.0	+1.7	-1.7	14.61	+0.0	-0.0	+0.66	-0.66
	-2.125	-2.25	-2.0	455.0	+0.0	-0.0	+20.0	-20.0	280.0	+0.0	-0.0	+13.0	-13.0	160.3	+0.0	-0.0	+7.2	-7.2	83.5	+0.0	-0.0	+3.8	-3.8	37.9	+0.0	-0.0	+1.7	-1.7	14.58	+0.0	-0.0	+0.66	-0.66
	-1.875	-2.0	-1.75	461.0	+0.0	-0.0	+20.0	-20.0	283.0	+0.0	-0.0	+12.0	-12.0	161.8	+0.0	-0.0	+7.2	-7.2	84.3	+0.0	-0.0	+3.8	-3.8	38.0	+0.0	-0.0	+1.7	-1.7	14.74	+0.0	-0.0	+0.67	-0.67
	-1.625	-1.75	-1.5	457.0	+0.0	-0.0	+13.0	-13.0	278.6	+0.0	-0.0	+8.2	-8.2	160.3	+0.0	-0.0	+4.7	-4.7	80.3	+0.0	-0.0	+2.4	-2.4	38.3	+0.0	-0.0	+1.3	-1.3	14.51	+0.0	-0.0	+0.55	-0.55
	-1.375	-1.5	-1.25	456.0	+0.0	-0.0	+13.0	-13.0	279.2	+0.0	-0.0	+8.2	-8.2	159.1	+0.0	-0.0	+4.7	-4.7	81.9	+0.0	-0.0	+2.5	-2.5	38.3	+0.0	-0.0	+1.2	-1.2	14.32	+0.0	-0.0	+0.55	-0.55
	-1.125	-1.25	-1.0	451.0	+0.0	-0.0	+13.0	-13.0	276.5	+0.0	-0.0	+8.1	-8.1	157.0	+0.0	-0.0	+4.6	-4.6	81.7	+0.0	-0.0	+2.5	-2.5	36.9	+0.0	-0.0	+1.2	-1.2	14.8	+0.0	-0.0	+0.56	-0.56
	-0.875	-0.99	-0.76	446.0	+0.0	-0.0	+13.0	-13.0	269.9	+0.0	-0.0	+7.9	-7.9	153.2	+0.0	-0.0	+4.5	-4.5	78.9	+0.0	-0.0	+2.4	-2.4	37.0	+0.0	-0.0	+1.2	-1.2	14.18	+0.0	-0.0	+0.54	-0.54
	-0.625	-0.74	-0.51	434.0	+0.0	-0.0	+12.0	-12.0	266.9	+0.0	-0.0	+7.3	-7.3	151.4	+0.0	-0.0	+4.1	-4.1	77.5	+0.0	-0.0	+2.1	-2.1	35.3	+0.0	-0.0	+1.0	-1.0	13.72	+0.0	-0.0	+0.44	-0.44
	-0.375	-0.49	-0.26	428.0	+0.0	-0.0	+11.0	-11.0	261.8	+0.0	-0.0	+6.5	-6.5	148.0	+0.0	-0.0	+3.6	-3.6	75.8	+0.0	-0.0	+1.9	-1.9	34.81	+0.0	-0.0	+0.86	-0.86	13.53	+0.0	-0.0	+0.35	-0.35
	-0.1225	-0.24	-0.005	422.0	+0.0	-0.0	+11.0	-11.0	259.1	+0.0	-0.0	+6.5	-6.5	147.1	+0.0	-0.0	+3.6	-3.6	74.7	+0.0	-0.0	+1.8	-1.8	34.82	+0.0	-0.0	+0.86	-0.86	13.4	+0.0	-0.0	+0.35	-0.35
	0.1225	0.005	0.24	422.0	+0.0	-0.0	+11.0	-11.0	259.1	+0.0	-0.0	+6.5	-6.5	147.1	+0.0	-0.0	+3.6	-3.6	74.7	+0.0	-0.0	+1.8	-1.8	34.82	+0.0	-0.0	+0.86	-0.86	13.4	+0.0	-0.0	+0.35	-0.35
	0.375	0.26	0.49	428.0	+0.0	-0.0	+11.0	-11.0	261.8	+0.0	-0.0	+6.5	-6.5	148.0	+0.0	-0.0	+3.6	-3.6	75.8	+0.0	-0.0	+1.9	-1.9	34.81	+0.0	-0.0	+0.86	-0.86	13.53	+0.0	-0.0	+0.35	-0.35
	0.625	0.51	0.74	434.0	+0.0	-0.0	+12.0	-12.0	266.9	+0.0	-0.0	+7.3	-7.3	151.4	+0.0	-0.0	+4.1	-4.1	77.5	+0.0	-0.0	+2.1	-2.1	35.3	+0.0	-0.0	+1.0	-1.0	13.72	+0.0	-0.0	+0.44	-0.44
	0.875	0.76	0.99	446.0	+0.0	-0.0	+13.0	-13.0	269.9	+0.0	-0.0	+7.9	-7.9	153.2	+0.0	-0.0	+4.5	-4.5	78.9	+0.0	-0.0	+2.4	-2.4	37.0	+0.0	-0.0	+1.2	-1.2	14.18	+0.0	-0.0	+0.54	-0.54
	1.125	1.0	1.25	451.0	+0.0	-0.0	+13.0	-13.0	276.5	+0.0	-0.0	+8.1	-8.1	157.0	+0.0	-0.0	+4.6	-4.6	81.7	+0.0	-0.0	+2.5	-2.5	36.9	+0.0	-0.0	+1.2	-1.2	14.8	+0.0	-0.0	+0.56	-0.56
	1.375	1.25	1.5	456.0	+0.0	-0.0	+13.0	-13.0	279.2	+0.0	-0.0	+8.2	-8.2	159.1	+0.0	-0.0	+4.7	-4.7	81.9	+0.0	-0.0	+2.5	-2.5	38.3	+0.0	-0.0	+1.2	-1.2	14.32	+0.0	-0.0	+0.55	-0.55
	1.625	1.5	1.75	457.0	+0.0	-0.0	+13.0	-13.0	278.6	+0.0	-0.0	+8.2	-8.2	160.3	+0.0	-0.0	+4.7	-4.7	80.3	+0.0	-0.0	+2.4	-2.4	38.3	+0.0	-0.0	+1.3	-1.3	14.51	+0.0	-0.0	+0.55	-0.55
	1.875	1.75	2.0	461.0	+0.0	-0.0	+20.0	-20.0	283.0	+0.0	-0.0	+12.0	-12.0	161.8	+0.0	-0.0	+7.2	-7.2	84.3	+0.0	-0.0	+3.8	-3.8	38.0	+0.0	-0.0	+1.7	-1.7	14.74	+0.0	-0.0	+0.67	-0.67
	2.125	2.0	2.25	455.0	+0.0	-0.0	+20.0	-20.0	280.0	+0.0	-0.0	+13.0	-13.0	160.3	+0.0	-0.0	+7.2	-7.2	83.5	+0.0	-0.0	+3.8	-3.8	37.9	+0.0	-0.0	+1.7	-1.7	14.58	+0.0	-0.0	+0.66	-0.66
	2.375	2.25	2.5	447.0	+0.0	-0.0	+20.0	-20.0	276.0	+0.0	-0.0	+12.0	-12.0	158.6	+0.0	-0.0	+7.2	-7.2	83.1	+0.0	-0.0	+3.7	-3.7	37.7	+0.0	-0.0	+1.7	-1.7	14.61	+0.0	-0.0	+0.66	-0.66
	2.625	2.5	2.75	437.0	+0.0	-0.0	+20.0	-20.0	271.0	+0.0	-0.0	+12.0	-12.0	156.3	+0.0	-0.0	+7.0	-7.0	81.8	+0.0	-0.0	+3.7	-3.7	37.6	+0.0	-0.0	+1.7	-1.7	14.67	+0.0	-0.0	+0.66	-0.66
	2.875	2.75	3.0	422.0	+0.0	-0.0	+19.0	-19.0	262.0	+0.0	-0.0	+12.0	-12.0	152.0	+0.0	-0.0	+6.9	-6.9	80.0	+0.0	-0.0	+3.6	-3.6	36.7	+0.0	-0.0	+1.7	-1.7	14.44	+0.0	-0.0	+0.65	-0.65
	3.125	3.0	3.25	410.0	+0.0	-0.0	+18.0	-18.0	255.0	+0.0	-0.0	+11.0	-11.0	147.9	+0.0	-0.0	+6.7	-6.7	78.5	+0.0	-0.0	+3.5	-3.5	36.1	+0.0	-0.0	+1.6	-1.6	14.31	+0.0	-0.0	+0.65	-0.65
	3.375	3.25	3.5	395.0	+0.0	-0.0	+18.0	-18.0	246.0	+0.0	-0.0	+11.0	-11.0	142.9	+0.0	-0.0	+6.4	-6.4	76.1	+0.0	-0.0	+3.4	-3.4	35.2	+0.0	-0.0	+1.6	-1.6	13.92	+0.0	-0.0	+0.63	-0.63
	3.625	3.5	3.75	361.0	+0.0	-0.0	+24.0	-25.0	225.0	+0.0	-0.0	+15.0	-15.0	130.9	+0.0	-0.0	+8.6	-8.9	69.4	+0.0	-0.0	+4.6	-4.7	32.3	+0.0	-0.0	+2.1	-2.2	13.17	+0.0	-0.0	+0.87	-0.9
	3.875	3.75	4.0	342.0	+0.0	-0.0	+23.0	-23.0	213.0	+0.0	-0.0	+14.0	-14.0	124.0	+0.0	-0.0	+8.1	-8.4	66.0	+0.0	-0.0	+4.3	-4.5	30.5	+0.0	-0.0	+2.0	-2.1	12.32	+0.0	-0.0	+0.81	-0.84
	4.125	4.0	4.25	320.0	+0.0	-0.0	+21.0	-22.0	200.0	+0.0	-0.0	+13.0	-14.0	116.6	+0.0	-0.0	+7.7	-7.9	62.4	+0.0	-0.0	+4.1	-4.2	29.0	+0.0	-0.0	+1.9	-2.0	11.92	+0.0	-0.0	+0.78	-0.81
	4.375	4.25	4.5	301.0	+0.0	-0.0	+20.0	-20.0	188.0	+0.0	-0.0	+12.0	-13.0	110.2	+0.0	-0.0	+7.2	-7.5	59.1	+0.0	-0.0	+3.9	-4.0	27.7	+0.0	-0.0	+1.8	-1.9	11.44	+0.0	-0.0	+0.75	-0.78
	4.625	4.5	4.75	283.0	+0.0	-0.0	+19.0	-19.0	177.0	+0.0	-0.0	+12.0	-12.0	104.2	+0.0	-0.0	+6.8	-7.1	56.3	+0.0	-0.0	+3.7	-3.8	26.6	+0.0	-0.0	+1.8	-1.8	11.11	+0.0	-0.0	+0.73	-0.76
	4.875	4.75	5.0	265.0	+0.0	-0.0	+17.0	-18.0	167.0	+0.0	-0.0	+11.0	-11.0	98.4	+0.0	-0.0	+6.5	-6.7	53.6	+0.0	-0.0	+3.5	-3.6	25.2	+0.0	-0.0	+1.7	-1.7	10.68	+0.0	-0.0	+0.7	-0.73

