#: table_doi: 10.17182/hepdata.72886.v2/t10
#: name: Table 10
#: description: Ratio of $p_{\rm T}$-differential $v_2${4} between $\sqrt{s_{\rm NN}}$ = 5.02 and 2.76 TeV, for centrality 20-30%.

#: data_file: Table10.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,20.0-30.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V2{4} (5.02 TeV) / V2{4} (2.76 TeV)','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,1.037,0.015,-0.015,0.01,-0.01
0.5,0.4,0.6,1.025,0.012,-0.012,0.01,-0.01
0.7,0.6,0.8,0.987,0.013,-0.013,0.01,-0.01
0.9,0.8,1.0,0.992,0.01,-0.01,0.01,-0.01
1.125,1.0,1.25,1.002,0.008,-0.008,0.01,-0.01
1.375,1.25,1.5,1.002,0.009,-0.009,0.01,-0.01
1.625,1.5,1.75,0.956,0.012,-0.012,0.01,-0.01
1.875,1.75,2.0,1.016,0.011,-0.011,0.01,-0.01
2.25,2.0,2.5,0.986,0.014,-0.014,0.01,-0.01
2.75,2.5,3.0,0.992,0.022,-0.022,0.01,-0.01
3.25,3.0,3.5,1.001,0.026,-0.026,0.01,-0.01
3.75,3.5,4.0,1.046,0.02,-0.02,0.01,-0.01
4.5,4.0,5.0,1.065,0.073,-0.073,0.011,-0.011

