#: table_doi: 10.17182/hepdata.72886.v2/t5
#: name: Table 5
#: description: Ratio of $p_{\rm T}$-integrated $v_2$ between $\sqrt{s_{\rm NN}}$ = 5.02 and 2.76 TeV.

#: data_file: Table5.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
'CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','V2{2, |DELTAETA|>1} (5.02 TeV) / V2{2, |DELTAETA|>1} (2.76 TeV)','stat +','stat -','sys +','sys -'
2.5,0.0,5.0,1.023,0.021,-0.021,0.01,-0.01
7.5,5.0,10.0,1.01,0.014,-0.014,0.01,-0.01
15.0,10.0,20.0,1.012,0.006,-0.006,0.01,-0.01
25.0,20.0,30.0,1.039,0.005,-0.005,0.01,-0.01
35.0,30.0,40.0,1.04,0.006,-0.006,0.01,-0.01
45.0,40.0,50.0,1.042,0.007,-0.007,0.01,-0.01
55.0,50.0,60.0,1.05,0.011,-0.011,0.01,-0.01
65.0,60.0,70.0,1.077,0.022,-0.022,0.011,-0.011
75.0,70.0,80.0,1.156,0.06,-0.06,0.011,-0.011

#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
'CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','V2{4} (5.02 TeV) / V2{4} (2.76 TeV)','stat +','stat -','sys +','sys -'
2.5,0.0,5.0,'-',0,0,0,0
7.5,5.0,10.0,1.021,0.072,-0.072,0.012,-0.012
15.0,10.0,20.0,1.021,0.006,-0.006,0.012,-0.012
25.0,20.0,30.0,1.035,0.018,-0.018,0.012,-0.012
35.0,30.0,40.0,1.026,0.03,-0.03,0.012,-0.012
45.0,40.0,50.0,1.041,0.032,-0.032,0.012,-0.012
55.0,50.0,60.0,1.044,0.028,-0.028,0.012,-0.012
65.0,60.0,70.0,1.164,0.149,-0.149,0.014,-0.014
75.0,70.0,80.0,'-',0,0,0,0

