#: table_doi: 10.17182/hepdata.72886.v2/t9
#: name: Table 9
#: description: $p_{\rm T}$ dependence of $v_2${4} for centralities 10-20%, 20-30% and 30-40%.

#: data_file: Table9.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 5023.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V2{4} (10-20%)','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.0288,0.0005,-0.0005,0.0005,-0.0005
0.5,0.4,0.6,0.0436,0.0005,-0.0005,0.0008,-0.0008
0.7,0.6,0.8,0.0587,0.0006,-0.0006,0.0011,-0.0011
0.9,0.8,1.0,0.0697,0.001,-0.001,0.0013,-0.0013
1.125,1.0,1.25,0.0845,0.0009,-0.0009,0.0016,-0.0016
1.375,1.25,1.5,0.0963,0.0011,-0.0011,0.0018,-0.0018
1.625,1.5,1.75,0.1077,0.0014,-0.0014,0.002,-0.002
1.875,1.75,2.0,0.1189,0.0015,-0.0015,0.0023,-0.0023
2.25,2.0,2.5,0.1337,0.0026,-0.0026,0.0025,-0.0025
2.75,2.5,3.0,0.1471,0.0024,-0.0024,0.0028,-0.0028
3.25,3.0,3.5,0.1525,0.0032,-0.0032,0.0029,-0.0029
3.75,3.5,4.0,0.1536,0.0061,-0.0061,0.0029,-0.0029
4.5,4.0,5.0,0.1365,0.0071,-0.0071,0.0026,-0.0026

#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,20.0-30.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V2{4} (20-30%)','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.0373,0.0005,-0.0005,0.0012,-0.0012
0.5,0.4,0.6,0.0601,0.0007,-0.0007,0.0019,-0.0019
0.7,0.6,0.8,0.0778,0.001,-0.001,0.0024,-0.0024
0.9,0.8,1.0,0.0951,0.001,-0.001,0.0029,-0.0029
1.125,1.0,1.25,0.1129,0.001,-0.001,0.0011,-0.0011
1.375,1.25,1.5,0.1301,0.0011,-0.0011,0.0013,-0.0013
1.625,1.5,1.75,0.1395,0.0017,-0.0017,0.0014,-0.0014
1.875,1.75,2.0,0.1625,0.0018,-0.0018,0.0016,-0.0016
2.25,2.0,2.5,0.1731,0.0025,-0.0025,0.0017,-0.0017
2.75,2.5,3.0,0.1876,0.0041,-0.0041,0.0019,-0.0019
3.25,3.0,3.5,0.1917,0.005,-0.005,0.0019,-0.0019
3.75,3.5,4.0,0.1928,0.0036,-0.0036,0.0019,-0.0019
4.5,4.0,5.0,0.1751,0.0118,-0.0118,0.0017,-0.0017

#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,5023.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V2{4} (30-40%)','stat +','stat -','sys +','sys -'
0.30000000000000004,0.2,0.4,0.0402,0.0007,-0.0007,0.0012,-0.0012
0.5,0.4,0.6,0.0661,0.0011,-0.0011,0.002,-0.002
0.7,0.6,0.8,0.0895,0.0015,-0.0015,0.0028,-0.0028
0.9,0.8,1.0,0.1103,0.0011,-0.0011,0.0034,-0.0034
1.125,1.0,1.25,0.1285,0.002,-0.002,0.0012,-0.0012
1.375,1.25,1.5,0.1457,0.0026,-0.0026,0.0013,-0.0013
1.625,1.5,1.75,0.1664,0.0024,-0.0024,0.0015,-0.0015
1.875,1.75,2.0,0.1796,0.0026,-0.0026,0.0016,-0.0016
2.25,2.0,2.5,0.1936,0.0028,-0.0028,0.0017,-0.0017
2.75,2.5,3.0,0.1911,0.006,-0.006,0.0017,-0.0017
3.25,3.0,3.5,0.2022,0.0085,-0.0085,0.0018,-0.0018
3.75,3.5,4.0,0.1819,0.0123,-0.0123,0.0016,-0.0016
4.5,4.0,5.0,0.1652,0.0126,-0.0126,0.0015,-0.0015

